FID,IID,SOL,C1,C2,C3,C4
0,C10001,0,-0.0382462,0.0348387,0.00353479,0.00306879
0,C10006,0,-0.0424166,0.0409174,-0.00351779,0.00681366
0,C10028,0,-0.0376143,0.0193545,0.0247287,-0.0142085
0,C10030,0,-0.0155834,0.0264477,0.00612062,-0.00170838
0,C10036,0,-0.0428129,0.0349152,0.00292573,0.00347427
0,C10043,0,-0.00449515,0.0217712,0.00462251,0.00321847
0,C10046,0,-0.0431676,0.0241025,0.015797,-0.00319974
0,C10052,0,0.00823885,0.00208938,0.0182696,-0.0124755
0,C10058,0,-0.0299087,0.0346179,-2.03099e-05,0.0031656
0,C10062,0,-0.0409256,0.0334405,0.00660378,-0.000427289
0,C10064,0,-0.0399785,0.0292637,0.0113536,-0.00277329
0,C10072,0,-0.0378595,0.0249433,0.014831,-0.00800349
0,C10077,0,-0.00642395,0.0221817,0.00426482,0.0028759
0,C10085,0,0.015212,0.00992287,0.00958174,-0.00606405
0,C10091,0,-0.0432436,0.0484694,-0.00652167,0.0122364
0,C10092,0,0.0308038,-0.000577036,0.0164225,-0.0116599
0,C10094,0,0.012084,0.0147043,0.00692447,-0.00165975
0,C10102,0,0.0509089,-0.00953821,0.0179346,-0.0129608
0,C10103,0,-0.0373556,0.0242628,0.0150441,-0.00439574
0,C10105,0,-0.0295227,-0.00264432,0.039259,-0.0245722
0,C10108,0,-0.022971,0.0320583,0.0030032,0.00457564
0,C10117,0,-0.005621,0.0151406,0.0149935,-0.00387171
0,C10122,0,0.0277411,0.00491841,0.0100491,-0.00492644
0,C10124,0,-0.044156,0.0434949,-0.00582985,0.0100524
0,C10128,0,-0.0440063,0.019466,0.0173561,-0.00579298
0,C10133,0,0.0123903,0.00993679,0.00964189,-0.00512397
0,C10136,0,-0.0405655,0.0334289,0.00483743,0.00190502
0,C10138,0,-0.0188743,0.0265557,-0.000296474,0.00153953
0,C10140,0,0.0262858,0.00814155,0.00836048,-0.00628497
0,C10142,0,-0.0092009,0.0149144,0.0139938,-0.00398716
0,C10146,0,-0.0376932,0.0166474,0.0225399,-0.00947806
0,C10149,0,0.0471125,0.0044009,0.00294124,-0.0038597
0,C10154,0,-0.00768574,0.0239353,0.00581649,0.00049288
0,C10160,0,0.00233136,0.0135726,0.0127242,-0.00472706
0,C10161,0,-0.0442032,0.0426527,-0.00555059,0.00768853
0,C10163,0,-0.0375406,0.0380682,0.0024066,0.00242514
0,C10167,0,0.0717515,-0.0150845,0.0165367,-0.013875
0,C10171,0,0.0414472,0.0044232,0.0113004,-0.00512887
0,C10173,0,-0.0399636,0.0444625,-0.00516982,0.00909654
0,C10180,0,-0.0450837,0.0354635,0.00319721,0.00167228
0,C10182,0,-0.0112893,0.0157752,0.0146643,-0.00709412
0,C10183,0,-0.0216116,0.04058,-0.00787931,0.00943396
0,C10188,0,0.027571,0.00362142,0.012474,-0.00529536
